customer_id,customer_name,customer_segment,customer_country,customer_region,channel
CU0001,Highland Dealers 1,GOVERNMENT,IN,APAC,DEALER_NETWORK
CU0002,Prairie Machinery 2,DEALER,IN,APAC,DEALER_NETWORK
CU0003,Highland Ag Supply 3,GOVERNMENT,DE,EMEA,DEALER_NETWORK
CU0004,Riverbend Equipment 4,FLEET,PL,EMEA,DIRECT
CU0005,Prairie Dealers 5,FLEET,FR,EMEA,DEALER_NETWORK
CU0006,Riverbend Ag Supply 6,DEALER,CA,NA,DEALER_NETWORK
CU0007,Harvest Ag Supply 7,RENTAL,JP,APAC,DEALER_NETWORK
CU0008,Sunrise Ag Supply 8,DEALER,DE,EMEA,DIRECT
CU0009,Green Valley Ag Supply 9,DEALER,FR,EMEA,DIRECT
CU0010,Harvest Ag Supply 10,FLEET,JP,APAC,DIRECT
CU0011,Highland Dealers 11,FLEET,CA,NA,DEALER_NETWORK
CU0012,Prairie Dealers 12,DEALER,CN,APAC,DEALER_NETWORK
CU0013,Harvest Dealers 13,DEALER,JP,APAC,DEALER_NETWORK
CU0014,Harvest Dealers 14,DEALER,CN,APAC,DEALER_NETWORK
CU0015,Riverbend Dealers 15,DEALER,US,NA,DEALER_NETWORK
CU0016,Harvest Dealers 16,GOVERNMENT,CN,APAC,DEALER_NETWORK
CU0017,Prairie Dealers 17,DEALER,IN,APAC,DIRECT
CU0018,Green Valley Dealers 18,DEALER,TH,APAC,DEALER_NETWORK
CU0019,Harvest Ag Supply 19,DEALER,JP,APAC,DIRECT
CU0020,Riverbend Machinery 20,DEALER,IN,APAC,DEALER_NETWORK
CU0021,Sunrise Machinery 21,DEALER,DE,EMEA,DEALER_NETWORK
CU0022,Green Valley Ag Supply 22,RENTAL,IN,APAC,DEALER_NETWORK
CU0023,Highland Machinery 23,GOVERNMENT,CA,NA,DEALER_NETWORK
CU0024,Green Valley Ag Supply 24,GOVERNMENT,TR,EMEA,DEALER_NETWORK
CU0025,Prairie Ag Supply 25,DEALER,IN,APAC,DIRECT
CU0026,Riverbend Machinery 26,FLEET,TH,APAC,DEALER_NETWORK
CU0027,Riverbend Equipment 27,DEALER,CN,APAC,DEALER_NETWORK
CU0028,Green Valley Machinery 28,DEALER,US,NA,DEALER_NETWORK
CU0029,Highland Machinery 29,DEALER,IN,APAC,DEALER_NETWORK
CU0030,Harvest Machinery 30,DEALER,CN,APAC,DIRECT
CU0031,Riverbend Ag Supply 31,DEALER,TH,APAC,DEALER_NETWORK
CU0032,Green Valley Machinery 32,DEALER,CN,APAC,DEALER_NETWORK
CU0033,Highland Dealers 33,GOVERNMENT,IN,APAC,DEALER_NETWORK
CU0034,Sunrise Ag Supply 34,GOVERNMENT,FR,EMEA,DEALER_NETWORK
CU0035,Sunrise Dealers 35,GOVERNMENT,PL,EMEA,DIRECT
CU0036,Harvest Ag Supply 36,DEALER,MX,NA,DEALER_NETWORK
CU0037,Harvest Dealers 37,DEALER,BR,LATAM,DEALER_NETWORK
CU0038,Highland Dealers 38,DEALER,PL,EMEA,DIRECT
CU0039,Green Valley Ag Supply 39,FLEET,US,NA,ONLINE
CU0040,Highland Equipment 40,DEALER,BR,LATAM,DEALER_NETWORK
CU0041,Prairie Dealers 41,DEALER,CA,NA,DIRECT
CU0042,Riverbend Equipment 42,DEALER,TR,EMEA,DEALER_NETWORK
CU0043,Highland Dealers 43,DEALER,CA,NA,DIRECT
CU0044,Sunrise Ag Supply 44,DEALER,FR,EMEA,DEALER_NETWORK
CU0045,Prairie Machinery 45,GOVERNMENT,US,NA,DEALER_NETWORK
CU0046,Sunrise Machinery 46,DEALER,IN,APAC,DIRECT
CU0047,Riverbend Ag Supply 47,DEALER,BR,LATAM,DEALER_NETWORK
CU0048,Highland Dealers 48,DEALER,BR,LATAM,DEALER_NETWORK
CU0049,Harvest Dealers 49,DEALER,FR,EMEA,DEALER_NETWORK
CU0050,Harvest Machinery 50,DEALER,IN,APAC,DIRECT
CU0051,Prairie Ag Supply 51,DEALER,US,NA,DEALER_NETWORK
CU0052,Highland Dealers 52,RENTAL,US,NA,DEALER_NETWORK
CU0053,Sunrise Machinery 53,DEALER,US,NA,DEALER_NETWORK
CU0054,Harvest Ag Supply 54,DEALER,CN,APAC,DEALER_NETWORK
CU0055,Green Valley Ag Supply 55,FLEET,TR,EMEA,DEALER_NETWORK
CU0056,Green Valley Machinery 56,DEALER,TR,EMEA,DEALER_NETWORK
CU0057,Riverbend Machinery 57,DEALER,CN,APAC,DEALER_NETWORK
CU0058,Harvest Dealers 58,DEALER,AR,LATAM,DIRECT
CU0059,Harvest Equipment 59,FLEET,MX,NA,DEALER_NETWORK
CU0060,Highland Dealers 60,DEALER,FR,EMEA,DIRECT
CU0061,Riverbend Equipment 61,DEALER,US,NA,DIRECT
CU0062,Green Valley Dealers 62,FLEET,FR,EMEA,DIRECT
CU0063,Prairie Dealers 63,DEALER,MX,NA,DEALER_NETWORK
CU0064,Sunrise Machinery 64,DEALER,AR,LATAM,DEALER_NETWORK
CU0065,Prairie Ag Supply 65,DEALER,PL,EMEA,DEALER_NETWORK
CU0066,Riverbend Dealers 66,DEALER,CA,NA,DEALER_NETWORK
CU0067,Sunrise Equipment 67,DEALER,FR,EMEA,DEALER_NETWORK
