shipment_id,po_line_id,carrier_id,ship_date,delivery_date,qty_shipped,qty_received,qty_rejected,freight_cost,duty_cost,insurance_cost,handling_cost,status
SH8000001,POL0000001,C04,2025-06-20,2025-07-14,500,494,6,246.15,80.32,14.25,25.98,RECEIVED
SH8000002,POL0000002,C05,2025-12-05,2025-12-14,92,89,3,291.17,536.41,22.92,34.74,RECEIVED
SH8000003,POL0000003,C02,2025-04-04,2025-04-07,389,389,0,1127.14,715.61,50.09,70.74,RECEIVED
SH8000004,POL0000004,C01,2025-03-30,2025-04-10,100,100,0,106.4,158.64,7.22,59.37,RECEIVED
SH8000005,POL0000005,C02,2025-09-10,2025-09-28,118,118,0,347.83,70.43,23.24,38.78,RECEIVED
SH8000006,POL0000006,C05,2026-02-17,2026-03-08,36,36,0,20.56,20.61,1.1,92.6,RECEIVED
SH8000007,POL0000006,C02,2026-02-28,2026-03-15,40,40,0,23.96,33.13,1.23,29.89,RECEIVED
SH8000008,POL0000007,C05,2025-10-19,2025-11-15,500,500,0,601.51,3142.01,119.94,64.62,RECEIVED
SH8000009,POL0000008,C03,2025-03-12,2025-03-26,127,127,0,77.5,144.91,6.57,118.93,RECEIVED
SH8000010,POL0000009,C04,2025-11-07,2025-12-05,100,99,1,100.55,111.47,5.64,29.87,RECEIVED
SH8000011,POL0000010,C04,2025-06-28,2025-07-21,59,59,0,877.85,1164.69,44.31,33.37,RECEIVED
SH8000012,POL0000010,C03,2025-06-24,2025-07-11,41,41,0,296.85,37.97,30.79,69.61,RECEIVED
SH8000013,POL0000011,C04,2025-11-18,2025-11-22,100,100,0,252.73,260.74,16.61,45.43,RECEIVED
SH8000014,POL0000012,C01,2025-04-05,2025-04-09,88,88,0,28.63,0.0,2.5,84.33,RECEIVED
SH8000015,POL0000013,C02,2025-05-19,2025-05-28,67,67,0,457.41,54.16,9.18,76.45,RECEIVED
SH8000016,POL0000014,C05,2025-05-13,2025-05-30,85,85,0,38.0,66.55,3.93,86.29,RECEIVED
SH8000017,POL0000015,C04,2025-12-03,2025-12-18,123,123,0,132.23,113.09,10.03,106.97,RECEIVED
SH8000018,POL0000016,C04,2025-03-30,2025-04-05,100,100,0,35.74,110.66,6.6,115.54,RECEIVED
SH8000019,POL0000017,C01,2026-02-23,2026-03-24,112,112,0,285.03,205.61,17.45,57.31,RECEIVED
SH8000020,POL0000018,C05,2026-03-25,2026-04-12,84,84,0,227.83,185.28,18.64,21.39,RECEIVED
SH8000021,POL0000019,C06,2026-02-08,2026-02-24,127,127,0,834.98,169.53,18.78,47.64,RECEIVED
SH8000022,POL0000020,C01,2025-02-04,2025-02-12,111,111,0,516.14,788.51,54.34,34.32,RECEIVED
SH8000023,POL0000021,C06,2026-04-30,2026-05-28,500,487,13,6475.04,1004.71,167.16,65.45,RECEIVED
SH8000024,POL0000022,C05,2025-03-16,2025-03-30,100,100,0,319.45,647.95,33.48,108.79,RECEIVED
SH8000025,POL0000023,C03,2025-03-01,2025-03-29,296,296,0,168.13,142.86,9.07,68.87,RECEIVED
SH8000026,POL0000024,C05,2025-04-05,2025-04-13,221,215,6,706.34,820.07,47.45,112.38,RECEIVED
SH8000027,POL0000024,C05,2025-04-07,2025-04-11,279,279,0,629.44,1140.74,61.58,57.4,RECEIVED
