snapshot_date,plant_id,part_id,qty_on_hand,unit_cost,avg_daily_demand_qty,safety_stock_qty
2025-01-31,P100,PN00001,7,32.44,0.1444,2
2025-01-31,P100,PN00002,33,33.78,0.3667,5
2025-01-31,P100,PN00003,0,55.08,0.0,0
2025-01-31,P100,PN00004,13,43.59,0.2778,3
2025-01-31,P100,PN00005,3,6.46,0.0667,0
2025-01-31,P100,PN00006,5,64.22,0.2444,3
2025-01-31,P100,PN00007,8,49.97,0.2889,4
2025-01-31,P100,PN00008,66,151.02,1.2444,17
2025-01-31,P100,PN00009,10,32.69,0.7333,10
2025-01-31,P100,PN00010,0,80.55,0.0,0
2025-01-31,P100,PN00011,0,58.22,0.0,0
2025-01-31,P100,PN00012,5,41.46,0.0667,0
2025-01-31,P100,PN00013,150,122.07,2.0667,28
2025-01-31,P100,PN00014,26,14.67,0.2667,3
2025-01-31,P100,PN00015,8,33.4,0.1,1
2025-01-31,P100,PN00016,175,133.26,1.9444,27
2025-01-31,P100,PN00017,1,34.66,0.0667,0
2025-01-31,P100,PN00018,5,13.92,0.2,2
2025-01-31,P100,PN00019,3,20.73,0.1333,1
2025-01-31,P100,PN00020,19,12.77,0.5667,7
2025-01-31,P100,PN00021,14,24.14,0.1778,2
2025-01-31,P100,PN00022,6,126.37,0.1222,1
2025-01-31,P100,PN00023,10,3.24,0.2444,3
2025-01-31,P100,PN00024,3,37.52,0.2,2
2025-01-31,P100,PN00025,17,19.42,0.2667,3
2025-01-31,P100,PN00026,11,1.42,0.1111,1
2025-01-31,P100,PN00027,2,219.37,0.1111,1
2025-01-31,P100,PN00028,11,24.08,0.4111,5
2025-01-31,P100,PN00029,9,65.32,0.0889,1
2025-01-31,P100,PN00030,0,122.27,0.0,0
2025-01-31,P100,PN00031,17,69.67,0.6667,9
2025-01-31,P100,PN00032,0,18.82,0.0556,0
2025-01-31,P100,PN00033,13,44.83,0.2222,3
2025-01-31,P100,PN00034,19,11.52,0.3778,5
2025-01-31,P100,PN00035,0,14.54,0.0,0
2025-01-31,P100,PN00036,3,47.52,0.0444,0
2025-01-31,P100,PN00037,9,18.61,0.2,2
2025-01-31,P100,PN00038,56,25.3,0.5556,7
2025-01-31,P100,PN00040,0,32.39,0.0,0
2025-01-31,P100,PN00041,10,20.66,0.1556,2
2025-01-31,P100,PN00043,9,90.08,0.3556,4
2025-01-31,P100,PN00044,8,14.52,0.2,2
2025-01-31,P100,PN00045,0,19.42,0.0222,0
2025-01-31,P100,PN00046,34,9.51,0.7778,10
2025-01-31,P100,PN00047,0,235.61,0.0,0
2025-01-31,P100,PN00049,3,17.91,0.0556,0
2025-01-31,P100,PN00050,0,60.98,0.0,0
2025-01-31,P100,PN00051,15,10.86,0.2333,3
2025-01-31,P100,PN00052,16,8.65,0.1444,2
2025-01-31,P100,PN00053,9,96.81,0.4222,5
2025-01-31,P100,PN00054,4,11.64,0.1778,2
2025-01-31,P100,PN00055,7,5.05,0.1556,2
2025-01-31,P100,PN00059,81,12.68,1.4222,19
2025-01-31,P100,PN00060,0,67.27,0.0,0
2025-01-31,P100,PN00061,6,24.23,0.0889,1
2025-01-31,P100,PN00062,22,7.72,0.3667,5
2025-01-31,P100,PN00063,12,99.62,0.2889,4
2025-01-31,P100,PN00064,6,10.82,0.1667,2
2025-01-31,P100,PN00065,1,24.16,0.0778,1
2025-01-31,P100,PN00066,9,19.02,0.1,1
2025-01-31,P100,PN00067,3,8.72,0.1111,1
2025-01-31,P100,PN00068,6,148.18,0.1889,2
2025-01-31,P100,PN00069,26,26.07,0.2333,3
2025-01-31,P100,PN00070,5,59.14,0.1,1
2025-01-31,P100,PN00071,25,44.18,0.7,9
2025-01-31,P100,PN00072,12,49.98,0.1667,2
2025-01-31,P100,PN00073,24,102.51,0.5667,7
2025-01-31,P100,PN00074,0,49.6,0.0,0
2025-01-31,P100,PN00075,0,18.16,0.0,0
2025-01-31,P100,PN00078,23,51.73,0.7778,10
2025-01-31,P100,PN00081,50,6.56,0.5222,7
2025-01-31,P100,PN00082,18,5.58,0.6,8
2025-01-31,P100,PN00083,14,254.53,0.7778,10
2025-01-31,P100,PN00084,0,154.94,0.0,0
2025-01-31,P100,PN00086,0,79.83,0.0,0
2025-01-31,P100,PN00087,18,118.53,0.2111,2
2025-01-31,P100,PN00088,14,177.24,0.3778,5
2025-01-31,P100,PN00089,0,75.07,0.0,0
2025-01-31,P100,PN00090,4,45.74,0.1,1
2025-01-31,P100,PN00091,9,30.04,0.1222,1
2025-01-31,P100,PN00092,0,23.95,0.0,0
2025-01-31,P100,PN00093,0,6.87,0.0,0
2025-01-31,P100,PN00094,16,66.27,0.3333,4
2025-01-31,P100,PN00095,2,12.71,0.0667,0
2025-01-31,P100,PN00096,0,78.22,0.0,0
2025-01-31,P100,PN00097,126,378.79,1.6333,22
2025-01-31,P100,PN00098,0,84.82,0.0,0
2025-01-31,P100,PN00099,16,24.16,0.7444,10
2025-01-31,P100,PN00101,2,56.69,0.0889,1
2025-01-31,P100,PN00102,4,4.36,0.2889,4
2025-01-31,P100,PN00105,8,47.0,0.3111,4
2025-01-31,P100,PN00106,5,133.62,0.3111,4
2025-01-31,P100,PN00107,6,75.86,0.2111,2
2025-01-31,P100,PN00108,0,13.31,0.0,0
2025-01-31,P100,PN00109,1,18.37,0.1111,1
2025-01-31,P100,PN00111,1,111.41,0.0444,0
2025-01-31,P100,PN00112,0,10.25,0.0,0
2025-01-31,P100,PN00113,19,49.96,0.5333,7
2025-01-31,P100,PN00114,2,49.06,0.1333,1
2025-01-31,P100,PN00116,4,33.25,0.0444,0
2025-01-31,P100,PN00117,3,33.63,0.0889,1
2025-01-31,P100,PN00118,9,18.21,0.4222,5
2025-01-31,P100,PN00119,2,84.38,0.0333,0
2025-01-31,P100,PN00120,8,30.27,0.1,1
2025-01-31,P100,PN00121,11,49.83,0.1778,2
2025-01-31,P100,PN00122,5,67.95,0.1889,2
2025-01-31,P100,PN00124,0,11.36,0.0,0
2025-01-31,P100,PN00125,8,28.48,0.1667,2
2025-01-31,P100,PN00126,37,45.51,0.4,5
2025-01-31,P100,PN00127,0,10.41,0.0111,0
2025-01-31,P100,PN00128,0,55.51,0.0,0
2025-01-31,P100,PN00129,7,9.83,0.1,1
2025-01-31,P100,PN00130,7,15.6,0.3111,4
2025-01-31,P100,PN00131,96,22.62,0.8556,11
2025-01-31,P100,PN00132,7,20.66,0.2333,3
2025-01-31,P100,PN00133,49,21.79,0.4556,6
2025-01-31,P100,PN00134,9,95.39,0.1667,2
2025-01-31,P100,PN00135,12,56.27,0.1778,2
2025-01-31,P100,PN00136,6,29.33,0.0667,0
2025-01-31,P100,PN00137,37,31.8,0.6222,8
2025-01-31,P100,PN00138,4,5.69,0.1,1
2025-01-31,P100,PN00139,2,61.74,0.0333,0
2025-01-31,P100,PN00140,1,39.6,0.0889,1
2025-01-31,P100,PN00141,3,103.19,0.0889,1
2025-01-31,P100,PN00142,41,56.16,0.9889,13
2025-01-31,P100,PN00143,0,17.6,0.0,0
2025-01-31,P100,PN00144,1,104.8,0.0222,0
2025-01-31,P100,PN00145,37,5.16,0.6889,9
2025-01-31,P100,PN00146,1,30.41,0.0333,0
2025-01-31,P100,PN00147,0,69.97,0.0,0
2025-01-31,P100,PN00148,3,78.68,0.1444,2
2025-01-31,P100,PN00149,18,38.77,0.6778,9
2025-01-31,P100,PN00151,0,37.97,0.0,0
2025-01-31,P100,PN00152,10,159.27,0.3222,4
2025-01-31,P100,PN00153,2,116.35,0.0778,1
2025-01-31,P100,PN00154,3,26.91,0.1444,2
2025-01-31,P100,PN00155,10,39.8,0.4111,5
2025-01-31,P100,PN00156,39,69.31,0.8111,11
2025-01-31,P100,PN00157,8,342.02,0.1889,2
2025-01-31,P100,PN00158,0,45.47,0.0,0
2025-01-31,P100,PN00160,3,135.0,0.0667,0
2025-01-31,P100,PN00161,5,24.12,0.3444,4
2025-01-31,P100,PN00162,7,36.64,0.2222,3
2025-01-31,P100,PN00163,0,15.72,0.0444,0
2025-01-31,P100,PN00164,6,18.58,0.2111,2
2025-01-31,P100,PN00165,0,161.76,0.0,0
2025-01-31,P100,PN00166,6,34.24,0.0778,1
2025-01-31,P100,PN00167,14,40.72,0.5889,8
2025-01-31,P100,PN00168,41,32.35,0.3778,5
2025-01-31,P100,PN00169,4,4.45,0.3222,4
2025-01-31,P100,PN00170,7,6.3,0.1778,2
2025-01-31,P100,PN00171,17,59.9,0.3667,5
