part_id,part_number,part_description,commodity,category,uom,abc_class,standard_cost,lifecycle_status
PN00001,AL456871,Bearing Unit 1,Bearings,Powertrain,M,C,32.04,ACTIVE
PN00002,RE855053,Casting Module 2,Castings,Powertrain,KG,C,34.3,ACTIVE
PN00003,AH197573,Valve Unit 3,Valves,Hydraulics,EA,B,54.14,ACTIVE
PN00004,AL546173,Fastener Unit 4,Fasteners,Structures,EA,C,43.19,ACTIVE
PN00005,AL225362,Sensor Kit 5,Sensors,Electrical,EA,B,6.31,ACTIVE
PN00006,AL205409,Sheet Metal Kit 6,Sheet Metal,Structures,EA,B,62.86,ACTIVE
PN00007,AH157174,Casting Unit 7,Castings,Powertrain,EA,C,49.83,ACTIVE
PN00008,DZ601968,Forging Module 8,Forgings,Powertrain,EA,A,148.59,ACTIVE
PN00009,AH259097,Valve Kit 9,Valves,Hydraulics,M,C,32.03,ACTIVE
PN00010,RE913373,Harnesse Module 10,Harnesses,Electrical,KG,C,79.17,ACTIVE
PN00011,AH899787,Fabrication Kit 11,Fabrications,Structures,EA,B,56.37,ACTIVE
PN00012,RE402099,Harnesse Unit 12,Harnesses,Electrical,KG,A,41.56,ACTIVE
PN00013,RE545790,Sensor Assy 13,Sensors,Electrical,M,B,123.59,ACTIVE
PN00014,AL560485,Sensor Assy 14,Sensors,Electrical,KG,C,14.47,ACTIVE
PN00015,AH727086,Sensor Assy 15,Sensors,Electrical,KG,C,33.17,ACTIVE
PN00016,AH901909,Casting Unit 16,Castings,Powertrain,M,A,128.6,ACTIVE
PN00017,AL290305,Valve Module 17,Valves,Hydraulics,KG,C,35.1,ACTIVE
PN00018,RE445824,Pump Module 18,Pumps,Hydraulics,KG,B,13.92,PHASE_OUT
PN00019,DZ639593,Hose Assy 19,Hoses,Hydraulics,M,B,20.48,ACTIVE
PN00020,DZ896907,Hose Assy 20,Hoses,Hydraulics,EA,B,12.51,ACTIVE
PN00021,AH130271,Sensor Kit 21,Sensors,Electrical,EA,B,23.29,ACTIVE
PN00022,AH779172,Pump Kit 22,Pumps,Hydraulics,KG,C,123.39,ACTIVE
PN00023,DZ355570,Sheet Metal Module 23,Sheet Metal,Structures,M,A,3.15,ACTIVE
PN00024,AH389666,Fabrication Module 24,Fabrications,Structures,EA,C,37.23,ACTIVE
PN00025,DZ255813,Casting Module 25,Castings,Powertrain,M,B,19.47,ACTIVE
PN00026,RE831380,Hose Kit 26,Hoses,Hydraulics,M,B,1.44,ACTIVE
PN00027,DZ795928,Pump Kit 27,Pumps,Hydraulics,KG,C,214.19,ACTIVE
PN00028,DZ204555,Fabrication Module 28,Fabrications,Structures,EA,C,24.04,ACTIVE
PN00029,DZ781403,Fastener Assy 29,Fasteners,Structures,EA,C,63.89,ACTIVE
PN00030,AH747453,Pump Assy 30,Pumps,Hydraulics,EA,C,121.27,PHASE_OUT
PN00031,AH897305,Harnesse Assy 31,Harnesses,Electrical,KG,A,69.96,ACTIVE
PN00032,RE356059,Casting Module 32,Castings,Powertrain,M,C,18.78,ACTIVE
PN00033,RE343467,Bearing Module 33,Bearings,Powertrain,EA,B,43.4,ACTIVE
PN00034,AL716113,Valve Unit 34,Valves,Hydraulics,KG,C,11.58,ACTIVE
PN00035,DZ211834,Sensor Kit 35,Sensors,Electrical,KG,C,14.32,ACTIVE
PN00036,AH735863,Sheet Metal Module 36,Sheet Metal,Structures,EA,C,48.14,ACTIVE
PN00037,AL810687,Controller Kit 37,Controllers,Electrical,EA,C,18.26,ACTIVE
PN00038,AL442589,Sensor Module 38,Sensors,Electrical,EA,B,25.36,ACTIVE
PN00039,RE369452,Controller Module 39,Controllers,Electrical,EA,C,61.06,ACTIVE
PN00040,RE809176,Forging Module 40,Forgings,Powertrain,M,B,31.23,ACTIVE
PN00041,AL805511,Casting Unit 41,Castings,Powertrain,M,B,20.88,ACTIVE
PN00042,AH749641,Controller Unit 42,Controllers,Electrical,M,B,13.78,ACTIVE
PN00043,DZ222343,Valve Kit 43,Valves,Hydraulics,EA,C,90.6,ACTIVE
PN00044,RE507524,Valve Module 44,Valves,Hydraulics,EA,C,14.0,ACTIVE
PN00045,RE535037,Hose Assy 45,Hoses,Hydraulics,KG,C,19.33,PHASE_OUT
PN00046,DZ566297,Sensor Kit 46,Sensors,Electrical,EA,A,9.27,ACTIVE
PN00047,AH517479,Hose Unit 47,Hoses,Hydraulics,EA,C,230.5,PHASE_OUT
PN00048,AH153035,Valve Unit 48,Valves,Hydraulics,EA,C,13.61,ACTIVE
PN00049,RE444519,Harnesse Kit 49,Harnesses,Electrical,M,A,17.45,ACTIVE
PN00050,AH238205,Bearing Assy 50,Bearings,Powertrain,EA,C,58.87,ACTIVE
PN00051,AH881886,Controller Assy 51,Controllers,Electrical,KG,B,10.96,ACTIVE
PN00052,AH862569,Fabrication Unit 52,Fabrications,Structures,KG,C,8.57,ACTIVE
PN00053,AH614084,Valve Module 53,Valves,Hydraulics,EA,C,93.55,ACTIVE
PN00054,AL499407,Bearing Unit 54,Bearings,Powertrain,KG,C,11.85,ACTIVE
PN00055,RE550961,Sheet Metal Module 55,Sheet Metal,Structures,EA,B,4.88,ACTIVE
PN00056,DZ427704,Pump Unit 56,Pumps,Hydraulics,EA,C,28.24,ACTIVE
PN00057,AH714953,Valve Unit 57,Valves,Hydraulics,EA,B,291.89,ACTIVE
PN00058,RE262246,Pump Module 58,Pumps,Hydraulics,EA,C,18.12,ACTIVE
PN00059,RE946432,Hose Module 59,Hoses,Hydraulics,M,C,12.72,ACTIVE
PN00060,AL130359,Fabrication Kit 60,Fabrications,Structures,EA,C,65.18,ACTIVE
PN00061,RE693830,Controller Module 61,Controllers,Electrical,EA,A,24.23,ACTIVE
PN00062,DZ540226,Casting Module 62,Castings,Powertrain,EA,A,7.45,ACTIVE
PN00063,AH155164,Controller Kit 63,Controllers,Electrical,EA,C,99.32,ACTIVE
PN00064,DZ736565,Forging Module 64,Forgings,Powertrain,KG,B,10.42,ACTIVE
PN00065,DZ652530,Forging Unit 65,Forgings,Powertrain,EA,B,24.56,NEW
PN00066,AL403507,Casting Unit 66,Castings,Powertrain,EA,A,18.65,ACTIVE
PN00067,RE624563,Bearing Unit 67,Bearings,Powertrain,EA,B,8.49,ACTIVE
PN00068,DZ843963,Pump Module 68,Pumps,Hydraulics,EA,A,143.21,ACTIVE
PN00069,AL192410,Controller Module 69,Controllers,Electrical,EA,B,26.56,ACTIVE
PN00070,RE180089,Hose Assy 70,Hoses,Hydraulics,M,C,56.92,PHASE_OUT
PN00071,AH253557,Controller Unit 71,Controllers,Electrical,EA,A,44.38,ACTIVE
PN00072,DZ814220,Fastener Unit 72,Fasteners,Structures,EA,A,49.87,ACTIVE
PN00073,AH469038,Valve Assy 73,Valves,Hydraulics,EA,B,100.15,ACTIVE
PN00074,DZ708519,Controller Assy 74,Controllers,Electrical,KG,C,49.42,ACTIVE
PN00075,RE164879,Harnesse Module 75,Harnesses,Electrical,EA,C,18.47,ACTIVE
PN00076,AH359778,Sheet Metal Module 76,Sheet Metal,Structures,KG,C,4.41,ACTIVE
PN00077,DZ912085,Controller Unit 77,Controllers,Electrical,M,A,24.43,ACTIVE
PN00078,RE449555,Controller Assy 78,Controllers,Electrical,M,C,50.78,PHASE_OUT
PN00079,AH424620,Sensor Module 79,Sensors,Electrical,EA,C,20.95,ACTIVE
PN00080,AL289019,Sheet Metal Kit 80,Sheet Metal,Structures,EA,C,33.61,ACTIVE
PN00081,AH794083,Harnesse Unit 81,Harnesses,Electrical,M,A,6.34,ACTIVE
PN00082,RE856215,Bearing Module 82,Bearings,Powertrain,EA,B,5.57,ACTIVE
PN00083,RE659951,Harnesse Kit 83,Harnesses,Electrical,EA,C,245.35,ACTIVE
PN00084,AL915922,Harnesse Module 84,Harnesses,Electrical,M,C,155.06,NEW
PN00085,AL154714,Harnesse Module 85,Harnesses,Electrical,EA,C,60.33,ACTIVE
PN00086,RE386042,Hose Module 86,Hoses,Hydraulics,M,A,76.91,ACTIVE
PN00087,DZ626392,Harnesse Unit 87,Harnesses,Electrical,EA,B,117.0,ACTIVE
PN00088,RE244283,Harnesse Assy 88,Harnesses,Electrical,EA,C,174.56,ACTIVE
PN00089,AH183074,Bearing Assy 89,Bearings,Powertrain,EA,B,76.43,ACTIVE
PN00090,AL349183,Sheet Metal Unit 90,Sheet Metal,Structures,EA,A,45.78,ACTIVE
PN00091,DZ725726,Fabrication Assy 91,Fabrications,Structures,M,C,30.49,ACTIVE
PN00092,RE698384,Sensor Module 92,Sensors,Electrical,EA,C,24.16,ACTIVE
PN00093,AH509420,Controller Module 93,Controllers,Electrical,EA,C,6.92,NEW
PN00094,AH461551,Sensor Kit 94,Sensors,Electrical,EA,C,64.07,ACTIVE
PN00095,AL953025,Controller Kit 95,Controllers,Electrical,KG,C,12.54,ACTIVE
PN00096,AL311383,Bearing Assy 96,Bearings,Powertrain,EA,C,79.33,ACTIVE
PN00097,DZ365618,Sensor Assy 97,Sensors,Electrical,EA,B,374.74,ACTIVE
PN00098,AH938171,Casting Unit 98,Castings,Powertrain,KG,C,84.72,ACTIVE
PN00099,DZ485191,Pump Unit 99,Pumps,Hydraulics,EA,C,23.58,ACTIVE
PN00100,AL793024,Fabrication Unit 100,Fabrications,Structures,EA,B,22.33,ACTIVE
PN00101,AH862120,Bearing Unit 101,Bearings,Powertrain,M,C,54.71,ACTIVE
PN00102,AL638009,Casting Kit 102,Castings,Powertrain,EA,A,4.43,ACTIVE
PN00103,DZ694799,Valve Assy 103,Valves,Hydraulics,M,A,70.39,ACTIVE
PN00104,RE655178,Controller Unit 104,Controllers,Electrical,KG,B,13.11,ACTIVE
PN00105,AH374492,Forging Unit 105,Forgings,Powertrain,KG,B,47.09,ACTIVE
PN00106,AH242321,Sheet Metal Assy 106,Sheet Metal,Structures,KG,A,134.86,ACTIVE
PN00107,AL414527,Forging Kit 107,Forgings,Powertrain,EA,C,73.61,ACTIVE
PN00108,AL680933,Forging Unit 108,Forgings,Powertrain,KG,C,13.56,ACTIVE
PN00109,DZ651231,Fabrication Module 109,Fabrications,Structures,KG,C,17.86,ACTIVE
PN00110,AL234568,Controller Kit 110,Controllers,Electrical,EA,B,51.62,PHASE_OUT
PN00111,AL272655,Casting Kit 111,Castings,Powertrain,EA,C,107.74,ACTIVE
PN00112,AL231250,Hose Unit 112,Hoses,Hydraulics,M,C,10.25,ACTIVE
PN00113,RE790731,Bearing Unit 113,Bearings,Powertrain,M,A,48.21,ACTIVE
PN00114,DZ748133,Forging Assy 114,Forgings,Powertrain,KG,C,48.3,ACTIVE
PN00115,DZ411882,Fastener Module 115,Fasteners,Structures,EA,C,150.67,ACTIVE
PN00116,RE427766,Pump Unit 116,Pumps,Hydraulics,EA,C,32.01,ACTIVE
PN00117,RE589131,Controller Assy 117,Controllers,Electrical,EA,B,34.08,ACTIVE
PN00118,DZ360330,Casting Kit 118,Castings,Powertrain,EA,C,18.46,ACTIVE
PN00119,DZ622987,Harnesse Unit 119,Harnesses,Electrical,KG,A,81.42,PHASE_OUT
PN00120,AL151021,Hose Assy 120,Hoses,Hydraulics,EA,B,30.07,ACTIVE
PN00121,AH988324,Fastener Assy 121,Fasteners,Structures,KG,A,50.12,ACTIVE
PN00122,DZ153642,Controller Kit 122,Controllers,Electrical,EA,C,67.62,ACTIVE
PN00123,AH234913,Hose Assy 123,Hoses,Hydraulics,KG,B,27.41,NEW
PN00124,AH147504,Hose Assy 124,Hoses,Hydraulics,EA,C,11.57,ACTIVE
PN00125,RE443897,Hose Unit 125,Hoses,Hydraulics,EA,B,27.46,ACTIVE
PN00126,DZ843167,Sensor Unit 126,Sensors,Electrical,KG,C,45.89,ACTIVE
PN00127,AL935457,Fastener Assy 127,Fasteners,Structures,M,B,10.51,NEW
PN00128,DZ278794,Fabrication Module 128,Fabrications,Structures,EA,C,53.41,ACTIVE
PN00129,RE533020,Fabrication Kit 129,Fabrications,Structures,KG,C,9.95,ACTIVE
PN00130,DZ651002,Valve Module 130,Valves,Hydraulics,EA,C,15.74,ACTIVE
PN00131,AL739711,Hose Module 131,Hoses,Hydraulics,EA,C,21.78,ACTIVE
PN00132,RE823769,Sensor Module 132,Sensors,Electrical,EA,B,20.32,ACTIVE
PN00133,DZ513697,Sheet Metal Unit 133,Sheet Metal,Structures,EA,B,21.27,ACTIVE
PN00134,RE311883,Sheet Metal Unit 134,Sheet Metal,Structures,M,C,95.49,ACTIVE
PN00135,AH802371,Fabrication Kit 135,Fabrications,Structures,EA,A,57.01,ACTIVE
PN00136,RE105433,Sheet Metal Kit 136,Sheet Metal,Structures,KG,C,28.55,ACTIVE
PN00137,AL436768,Valve Unit 137,Valves,Hydraulics,EA,C,31.55,ACTIVE
PN00138,AH283568,Fabrication Module 138,Fabrications,Structures,EA,C,5.71,ACTIVE
PN00139,AL139286,Pump Assy 139,Pumps,Hydraulics,EA,C,60.77,ACTIVE
PN00140,RE992400,Controller Module 140,Controllers,Electrical,EA,A,38.35,ACTIVE
PN00141,RE114768,Bearing Unit 141,Bearings,Powertrain,EA,C,102.24,ACTIVE
PN00142,DZ967161,Bearing Module 142,Bearings,Powertrain,M,B,56.09,ACTIVE
PN00143,AL360096,Forging Assy 143,Forgings,Powertrain,EA,B,17.65,ACTIVE
PN00144,AH374258,Sensor Unit 144,Sensors,Electrical,EA,A,101.07,ACTIVE
PN00145,AL823821,Sensor Assy 145,Sensors,Electrical,EA,B,5.16,ACTIVE
PN00146,AL536045,Bearing Module 146,Bearings,Powertrain,M,C,30.92,ACTIVE
PN00147,AH651033,Harnesse Module 147,Harnesses,Electrical,M,C,71.2,ACTIVE
PN00148,RE272529,Fabrication Unit 148,Fabrications,Structures,M,B,78.75,ACTIVE
PN00149,DZ947975,Sheet Metal Assy 149,Sheet Metal,Structures,KG,A,38.74,ACTIVE
PN00150,AL858414,Fabrication Assy 150,Fabrications,Structures,KG,B,8.07,ACTIVE
PN00151,AL834406,Harnesse Assy 151,Harnesses,Electrical,M,C,38.12,PHASE_OUT
PN00152,AL528728,Forging Kit 152,Forgings,Powertrain,EA,C,160.73,NEW
PN00153,DZ570325,Fastener Module 153,Fasteners,Structures,KG,A,118.15,NEW
PN00154,RE975373,Hose Assy 154,Hoses,Hydraulics,EA,C,26.84,ACTIVE
PN00155,RE359535,Sheet Metal Module 155,Sheet Metal,Structures,EA,A,38.97,ACTIVE
PN00156,AH352356,Sheet Metal Kit 156,Sheet Metal,Structures,EA,A,67.61,ACTIVE
PN00157,RE876513,Fabrication Assy 157,Fabrications,Structures,KG,B,333.42,ACTIVE
PN00158,AL348411,Casting Unit 158,Castings,Powertrain,EA,C,45.11,ACTIVE
PN00159,RE756401,Pump Module 159,Pumps,Hydraulics,M,B,23.0,NEW
PN00160,AL830132,Fastener Module 160,Fasteners,Structures,KG,A,130.62,ACTIVE
PN00161,AL999197,Hose Kit 161,Hoses,Hydraulics,KG,C,24.49,ACTIVE
PN00162,RE367382,Pump Kit 162,Pumps,Hydraulics,EA,C,37.1,PHASE_OUT
PN00163,AH176319,Controller Kit 163,Controllers,Electrical,M,C,16.02,ACTIVE
PN00164,AH883159,Valve Module 164,Valves,Hydraulics,EA,C,17.99,ACTIVE
PN00165,AL499152,Pump Module 165,Pumps,Hydraulics,M,C,162.38,ACTIVE
PN00166,AH941814,Controller Module 166,Controllers,Electrical,EA,C,34.6,ACTIVE
PN00167,DZ409531,Pump Kit 167,Pumps,Hydraulics,EA,B,41.26,ACTIVE
PN00168,AL369826,Harnesse Module 168,Harnesses,Electrical,KG,B,33.0,ACTIVE
PN00169,DZ292988,Controller Assy 169,Controllers,Electrical,M,A,4.36,ACTIVE
PN00170,AH841521,Fastener Kit 170,Fasteners,Structures,EA,B,6.15,ACTIVE
PN00171,DZ791309,Casting Module 171,Castings,Powertrain,EA,A,60.74,ACTIVE
PN00172,DZ945328,Casting Kit 172,Castings,Powertrain,EA,C,36.09,ACTIVE
PN00173,AL380310,Harnesse Module 173,Harnesses,Electrical,EA,B,10.85,ACTIVE
PN00174,AL817269,Fabrication Assy 174,Fabrications,Structures,EA,A,7.73,ACTIVE
PN00175,RE186702,Hose Module 175,Hoses,Hydraulics,KG,C,29.57,ACTIVE
PN00176,AL148823,Forging Assy 176,Forgings,Powertrain,EA,C,70.91,ACTIVE
PN00177,DZ809922,Casting Unit 177,Castings,Powertrain,KG,C,15.03,ACTIVE
PN00178,AL156304,Sheet Metal Assy 178,Sheet Metal,Structures,KG,B,71.55,ACTIVE
PN00179,AH764926,Fabrication Unit 179,Fabrications,Structures,KG,B,15.14,ACTIVE
PN00180,DZ189856,Pump Unit 180,Pumps,Hydraulics,EA,C,22.99,ACTIVE
PN00181,RE875584,Bearing Module 181,Bearings,Powertrain,EA,B,12.77,ACTIVE
PN00182,AH238943,Sensor Assy 182,Sensors,Electrical,EA,B,22.26,ACTIVE
PN00183,AL681141,Hose Assy 183,Hoses,Hydraulics,M,C,28.16,ACTIVE
PN00184,AH860053,Pump Kit 184,Pumps,Hydraulics,M,C,7.95,ACTIVE
PN00185,DZ253023,Bearing Assy 185,Bearings,Powertrain,EA,B,13.65,ACTIVE
PN00186,RE855917,Valve Module 186,Valves,Hydraulics,M,C,70.74,ACTIVE
PN00187,AL561607,Bearing Unit 187,Bearings,Powertrain,KG,C,15.52,ACTIVE
PN00188,RE602278,Fabrication Unit 188,Fabrications,Structures,EA,C,13.21,NEW
PN00189,RE441716,Sensor Module 189,Sensors,Electrical,EA,C,99.25,ACTIVE
PN00190,RE814827,Forging Assy 190,Forgings,Powertrain,KG,C,83.62,ACTIVE
PN00191,AL353777,Sensor Unit 191,Sensors,Electrical,EA,C,46.75,ACTIVE
