po_line_id,po_number,supplier_id,part_id,plant_id,source_id,order_date,requested_date,promised_date,qty_ordered,unit_price,currency
POL0000001,4500001,S0035,PN00093,P100,SRC000278,2025-05-16,2025-07-14,2025-07-14,500,7.21,USD
POL0000002,4500001,S0049,PN00085,P300,SRC000256,2025-10-30,2025-12-11,2025-12-16,92,64.39,USD
POL0000003,4500001,S0046,PN00116,P600,SRC000340,2025-03-26,2025-04-07,2025-04-07,389,32.19,USD
POL0000004,4500001,S0001,PN00143,P100,SRC000433,2025-03-02,2025-04-05,2025-04-10,100,18.06,USD
POL0000005,4500001,S0040,PN00121,P600,SRC000360,2025-07-26,2025-09-30,2025-09-30,118,49.23,USD
POL0000006,4500001,S0015,PN00246,P500,SRC000764,2026-01-02,2026-03-06,2026-03-08,76,7.67,USD
POL0000007,4500001,S0016,PN00006,P300,SRC000017,2025-08-31,2025-11-13,2025-11-15,500,59.97,USD
POL0000008,4500002,S0046,PN00018,P500,SRC000056,2025-01-09,2025-03-12,2025-03-17,127,12.94,USD
POL0000009,4500002,S0057,PN00108,P500,SRC000314,2025-09-07,2025-11-21,2025-11-21,100,14.23,USD
POL0000010,4500002,S0052,PN00199,P500,SRC000615,2025-05-06,2025-07-03,2025-07-08,100,187.77,USD
POL0000011,4500002,S0035,PN00140,P400,SRC000422,2025-11-10,2025-11-22,2025-11-22,100,41.53,USD
POL0000012,4500002,S0005,PN00223,P600,SRC000687,2025-03-25,2025-04-11,2025-04-11,88,7.1,USD
POL0000013,4500002,S0048,PN00001,P100,SRC000001,2025-05-09,2025-05-28,2025-05-28,67,34.24,USD
POL0000014,4500002,S0043,PN00034,P500,SRC000099,2025-04-23,2025-05-30,2025-05-30,85,11.57,USD
POL0000015,4500003,S0060,PN00132,P500,SRC000395,2025-10-24,2025-12-18,2025-12-18,123,20.38,USD
POL0000016,4500003,S0056,PN00179,P200,SRC000535,2025-03-12,2025-04-01,2025-04-06,100,16.5,USD
POL0000017,4500003,S0023,PN00172,P400,SRC000516,2026-01-22,2026-03-26,2026-03-26,112,38.96,USD
POL0000018,4500003,S0021,PN00003,P300,SRC000007,2026-02-18,2026-04-08,2026-04-13,84,55.48,USD
POL0000019,4500003,S0031,PN00291,P300,SRC000918,2025-12-12,2026-02-20,2026-02-25,127,36.97,USD
POL0000020,4500003,S0046,PN00395,P500,SRC001219,2025-01-04,2025-02-05,2025-02-07,111,122.38,USD
POL0000021,4500003,S0030,PN00098,P600,SRC000290,2026-03-11,2026-05-23,2026-05-28,500,85.81,USD
POL0000022,4500004,S0034,PN00119,P600,SRC000355,2025-02-21,2025-03-26,2025-03-31,100,83.7,USD
