source_id,supplier_id,part_id,plant_id,agreed_unit_price,agreed_lead_time_days,moq,is_primary_source,currency
SRC000001,S0048,PN00001,P100,32.69,19,10,True,USD
SRC000002,S0033,PN00001,P100,34.36,60,500,False,USD
SRC000003,S0048,PN00001,P400,30.75,55,500,True,USD
SRC000004,S0033,PN00001,P400,30.73,69,500,False,USD
SRC000005,S0022,PN00002,P400,36.25,66,1,True,USD
SRC000006,S0022,PN00002,P300,32.33,56,100,True,USD
SRC000007,S0021,PN00003,P300,56.91,49,10,True,USD
SRC000008,S0021,PN00003,P500,60.5,69,100,True,USD
SRC000009,S0051,PN00004,P200,45.65,9,1,True,USD
SRC000010,S0028,PN00004,P200,40.71,33,10,False,USD
SRC000011,S0027,PN00005,P600,6.19,14,1,True,USD
SRC000012,S0036,PN00005,P600,6.22,64,10,False,USD
SRC000013,S0013,PN00005,P600,6.06,15,50,False,USD
SRC000014,S0027,PN00005,P100,6.5,69,10,True,USD
SRC000015,S0036,PN00005,P100,6.68,72,1,False,USD
SRC000016,S0013,PN00005,P100,6.28,72,500,False,USD
SRC000017,S0016,PN00006,P300,60.35,74,500,True,USD
SRC000018,S0052,PN00007,P100,52.42,72,50,True,USD
SRC000019,S0052,PN00007,P600,54.46,7,50,True,USD
SRC000020,S0052,PN00007,P400,54.49,17,100,True,USD
SRC000021,S0025,PN00008,P600,151.11,16,500,True,USD
SRC000022,S0025,PN00008,P100,139.32,42,500,True,USD
SRC000023,S0025,PN00008,P300,165.43,15,1,True,USD
SRC000024,S0045,PN00009,P300,31.99,40,1,True,USD
SRC000025,S0045,PN00009,P400,31.69,52,50,True,USD
SRC000026,S0034,PN00010,P600,76.92,54,1,True,USD
SRC000027,S0049,PN00010,P600,87.79,47,10,False,USD
SRC000028,S0056,PN00011,P200,57.73,17,500,True,USD
SRC000029,S0056,PN00011,P100,61.7,73,10,True,USD
SRC000030,S0056,PN00011,P400,56.57,66,10,True,USD
SRC000031,S0049,PN00012,P300,39.95,38,500,True,USD
SRC000032,S0049,PN00012,P400,42.73,42,10,True,USD
SRC000033,S0049,PN00012,P200,40.8,75,500,True,USD
SRC000034,S0038,PN00013,P200,127.48,18,1,True,USD
SRC000035,S0027,PN00013,P200,118.25,39,1,False,USD
SRC000036,S0036,PN00013,P200,132.62,56,100,False,USD
SRC000037,S0038,PN00013,P300,121.2,70,50,True,USD
SRC000038,S0027,PN00013,P300,117.46,10,1,False,USD
SRC000039,S0036,PN00013,P300,116.95,31,500,False,USD
SRC000040,S0038,PN00013,P100,128.95,68,500,True,USD
SRC000041,S0027,PN00013,P100,128.84,68,10,False,USD
SRC000042,S0036,PN00013,P100,119.41,31,50,False,USD
SRC000043,S0038,PN00014,P500,15.76,60,50,True,USD
SRC000044,S0038,PN00015,P400,31.6,44,1,True,USD
SRC000045,S0038,PN00015,P200,33.23,7,50,True,USD
SRC000046,S0030,PN00016,P100,122.87,58,500,True,USD
SRC000047,S0054,PN00016,P100,130.91,50,100,False,USD
SRC000048,S0044,PN00016,P100,141.14,57,100,False,USD
SRC000049,S0045,PN00017,P300,35.95,58,100,True,USD
SRC000050,S0043,PN00017,P300,38.1,32,10,False,USD
SRC000051,S0045,PN00017,P400,35.93,55,1,True,USD
SRC000052,S0043,PN00017,P400,36.21,63,1,False,USD
SRC000053,S0045,PN00017,P100,33.62,14,100,True,USD
SRC000054,S0043,PN00017,P100,38.5,48,100,False,USD
SRC000055,S0046,PN00018,P100,14.1,71,100,True,USD
SRC000056,S0046,PN00018,P500,13.06,62,1,True,USD
SRC000057,S0046,PN00018,P200,13.31,67,500,True,USD
SRC000058,S0047,PN00019,P400,19.57,67,10,True,USD
SRC000059,S0047,PN00019,P100,22.46,35,50,True,USD
SRC000060,S0011,PN00020,P600,11.79,14,50,True,USD
SRC000061,S0011,PN00020,P100,11.72,75,100,True,USD
SRC000062,S0011,PN00020,P500,13.33,62,500,True,USD
SRC000063,S0038,PN00021,P300,24.06,72,10,True,USD
SRC000064,S0060,PN00021,P300,22.18,39,10,False,USD
SRC000065,S0013,PN00021,P300,25.01,7,100,False,USD
SRC000066,S0053,PN00022,P600,116.42,38,10,True,USD
SRC000067,S0053,PN00022,P200,113.61,19,50,True,USD
SRC000068,S0029,PN00023,P500,3.28,61,10,True,USD
SRC000069,S0029,PN00023,P100,3.03,72,100,True,USD
